行,彳丁
燃,火然
溜,水留
舛,夕十
爽,大乂
爿,片
舟,舟
舞,無舛
庭,广廷
舀,爪臼
食,亼艮
魯,魚日
庫,广車
座,广坐
爪,爪
島,鳥山
庚,广又人
峰,山夆
愉,心俞
磨,麻石
意,音心
纜,糸覽
言,言
磷,石粦
舨,舟反
溥,水尃
部,咅阝
踵,足重
杈,木叉
泉,白水
蚯,虫丘
鱖,魚厥
暴,日共水
束,木口
哢,口弄
都,者阝
烽,火夆
杓,木勺
儒,人需
富,宀畐
弁,厶廾
哐,口匡
署,四者
泰,丰水
哆,口多
蚓,虫引
烖,十戈
一,一
暇,日叚
比,匕
兼,肀禾
膻,月亶
門,門
靴,革化
瞅,目秋
殳,几又
具,目廾
共,廿廾
丰,丰
膩,月貳
毅,立豕殳
中,中
面,囗自
毀,臼土殳
丩,丩
革,革
鍤,金干臼
閥,門伐
膛,月堂
青,生月
膝,月桼
瞧,目焦
丙,丙
丘,丘
非,非
垡,伐土
靂,雨歷
光,火儿
先,牛儿
瑙,王川囪
嬰,貝女
七,七
兀,兀
丁,丁
閻,門臽
椅,木奇
潦,水尞
侯,人丩矢
匡,王匚
瀾,水闌
餐,攴又食
豕,豕
大,大
斗,斗
椒,木叔
豌,豆宛
匽,匚妟
餑,食孛
稈,禾旱
豆,豆
豇,豆工
匊,米勹
匈,勹凶
竿,竹干
插,手干臼
疾,疒矢
稽,禾尤旨
宛,宀夗
旋,方人疋
稻,禾舀
壴,十豆
斑,王文
鍵,金建
匐,勹畐
化,人匕
北,匕
匕,匕
口,口
离,离
禾,禾
句,勹口
畢,田艹十
辛,立十
叮,口丁
辟,尸口辛
鮮,魚羊
澳,水奥
貳,弋二貝
戴,異烖
宀,宀
戳,翟戈
戍,戊一
粦,米夅
糊,米胡
戉,戉
戈,弋
辶,辶
叉,又
又,又
篡,算厶
反,厂又
澈,水徹
矢,矢
篾,竹四戍
取,耳又
叔,上小又
叚,尸二又
禁,林示
叟,臼又
辯,辛言
辮,辛糸
餾,食留
彷,彳方
影,景彡
彳,彳
鵡,武鳥
礴,石薄
彥,文厂彡
彡,彡
雚,艹口隹
彩,采彡
稀,禾希
彖,豕
彐,彐
金,人玉
蕭,艹肅
與,臼一㇉八
螟,虫冥
釘,金丁
采,爪木
異,田共
息,自心
釀,酉襄
量,旦里
重,千里
里,里
彈,弓單
昷,日皿
皇,白王
皀,白匕
鑲,金襄
鸚,嬰鳥
鑫,金
嚀,口寧
謠,言月缶
嚼,口爵
索,十冖糸
擄,手虜
擅,手亶
謙,言兼
糠,米康
裹,衣果
皿,皿
豫,予象
敷,甫方攵
付,人寸
罒,四
リ,リ
潛,水朁
密,宀必山
寅,八宀田
樊,乂木大
用,用
胸,月匈
甫,用一
缺,缶夬
假,人叚
樂,幺白木
田,田
畀,田丌
走,人止
停,人亭
象,象
咐,口付
阱,阝井
察,宀祭
菜,艹采
利,禾刀
寡,宀頁刀
寧,宀心皿丁
寥,宀翏
稨,禾扁
寨,宑木
健,人建
寮,宀尞
分,八刀
催,人崔
寰,宀罒衣
刀,刀
阝,阝
寺,土寸
酸,酉夋
亶,人回旦
框,木匡
生,屮土
貝,貝
離,离隹
儆,人敬
竟,音儿
雪,雨彐
勤,堇力
,金矍
贊,先貝
勿,勿
貌,豸白儿
立,立
勺,勹一
勹,勹
耳,耳
竹,竹
儡,人田
集,隹木
費,弗貝
雄,厷隹
貴,中一貝
耀,光翟
勃,孛力
雍,人隹乡
儲,人諸
貯,貝宀丁
畐,一口田
雕,周隹
澡,水喿
章,立早
童,立里
儿,儿
車,車
慢,心曼
蒸,艹丞火
蒜,艹示
艙,舟倉
滕,月半水
碉,石周
慷,心康
慰,尉心
艇,舟廷
漆,水桼
祭,月又示
風,几一虫
短,矢豆
蒙,艹冖豕
滾,水袞
贛,章工貝攵
驟,馬聚
雨,雨
艹,艹
撉,敦手
颶,風具
旨,匕日
熟,孰火
單,口甲一
日,日
旦,日一
角,角
掀,手欣
既,皀欠
枓,木斗
夷,大弓
喿,品木
果,田木
旱,日干
熄,火息
耦,耒禺
相,木目
夋,厶八夂
鼻,自畀
簽,竹僉
熨,尉火
皮,又
喜,壴口
多,夕
鎦,金留
枼,木世
解,角刀牛
璃,王离
臾,臼人
辱,辰寸
臼,臼
嫌,女兼
定,宀疋
坐,人土
嫉,女疾
辰,厂二
詹,刀厂言八
癍,疒斑
霸,雨革月
霹,雨辟
姨,女夷
自,自
臧,片臣戊
蠕,虫需
乞,人乙
乘,禾北
矛,矛
款,士示欠
霞,雨叚
蠢,春虫
霜,雨相
癬,疒鮮
撞,手童
霆,雨廷
镸,镸
癲,疒顛
需,雨而
臆,月意
欠,欠
白,日
臃,月雍
臀,殿月
侵,人唚
韭,非一
篦,竹比囱
禺,禺
倉,人戶一口
橘,木矛冏
脹,月長
宑,宑
磊,石
鐐,金尞
榨,木窄
凡,凡
几,几
音,立日
鼓,壴支
病,疒丙
脖,月孛
越,走戉
韋,韋
凝,冫疑
無,無
鐮,金廉
韁,革畺
康,广隶
橡,木象
家,宀豕
夫,大一
容,宀谷
韓,十早韋
莫,艹日大
簡,竹門日
首,八自
厥,厂欠
箕,竹其
荔,艹力
戚,戊上小
濫,水監
扠,手叉
夬,夬
厶,厶
辨,辛リ
迎,辶卬
荅,艹合
厂,厂
激,水敫
湄,水眉
追,辶垖
扁,戶冊
扇,戶羽
馬,馬
手,手
戒,戈廾
賁,十貝艹
原,厂泉
曹,卄曰
曼,日四又
咼,咼
咸,戊一口
薅,艹女辱
幕,莫巾
栱,木共
咨,次口
堰,土匽
蛋,疋虫
曚,日蒙
掬,手匊
曜,日翟
繁,敏糸
廴,廴
鉤,金句
堇,堇
幫,封帛
堂,尚土
搗,手島
缶,缶
咅,立口
干,干
悤,囱心
幺,幺
幽,山幺
桑,又木
广,广
幾,幺戌
乂,乂
搧,手扇
譴,言遣
器,口犬
煤,火某
眶,目匡
委,禾女
緔,糸尚
水,水
搜,手叟
夆,夂丰
警,敬言
褲,衣庫
緣,糸彖
真,十具
感,咸心
豸,豸
煽,火扇
眉,尸目
褥,衣辱
搖,手月缶
簿,竹溥
旅,於人
修,攸彡
演,水寅
團,囗專
漂,水票
土,土
園,囗袁
圓,口員
圖,囗啚
歐,區欠
歎,欠革大
國,口或
圈,囗卷
篇,竹扁
麗,丽鹿
歇,曷欠
漆,水桼
鑷,金聶
盅,中皿
圾,土及
死,歹匕
歸,帚止垖
歹,歹
歷,禾止厂
地,土也
歲,止戍少
歰,刃止
在,才土
歪,不正
圭,土
武,止弋
圣,又土
此,止匕
麻,广林
止,止
正,一止
歡,雚欠
珍,王昣
棲,木妻
亂,辭乚
助,且力
努,奴力
聯,耳幺丱
予,予
事,史肀
莖,艹巠
加,力口
二,一
劣,少力
云,云
井,井
聽,耳王直心
聾,龍耳
聿,肀二
聰,耳悤
亘,旦一
聲,声殳耳
聳,從耳
雞,奚隹
亟,丞口
亞,亞
亡,人乚
劍,僉刀
聊,耳卯
亢,亢
亥,亥
交,交
劊,會刀
亦,亦
亩,亩
亨,享
享,亨一
劇,豦刀
亭,京丁
京,京
亮,高几
聘,耳甹
聚,取人
亲,亲
棄,人厶廿木
聞,門耳
力,力
棉,木帛
人,人
亼,亼
聖,耳口王
鴨,甲鳥
藏,艹臧
鴦,央鳥
リ,リ
踏,足水日
蕩,艹湯
鴿,合鳥
踐,足戈
鴻,水工鳥
圃,囗甫
殲,歹韱
牲,牛生
踢,足易
鴉,牙鳥
踩,足采
闡,門單
踱,足度
鴛,鳥夗
踴,足勇
鴕,鳥它
膏,高月
柄,木丙
糕,米羔
淺,水戈
糖,米唐
糙,米造
柏,木白
糜,麻米
糟,米曹
糞,米異
柔,矛木
某,甘木
柑,木甘
柒,水七木
染,水九木
糊,米胡
蕾,艹雷
麥,來夕
查,木旦
混,水昆
柬,束八
糸,糸
系,糸一
糾,糸丩
柴,此木
柵,木冊
酪,酉各
柰,木示
柱,木主
糧,米量
柳,木卯
柿,木市
糯,米需
酬,酉州
縱,糸從
妙,女少
襖,衣奥
妝,片女
妟,日女
焙,火咅
妒,女戶
妓,女支
嗡,口翁
妖,女夭
襄,衣口丰
逞,辶呈
焉,焉
如,女口
妄,亡女
焰,火臽
妹,女未
妻,肀女
然,月犬火
酥,酉禾
西,西
妨,女方
無,無
襠,衣當
焦,隹火
襯,衣親
妥,爪女
襪,衣蔑
路,足各
跪,足危
跨,足夸
闌,門柬
闊,門活
疤,疒巴
跡,足亦
闖,門馬
疹,疒昣
疾,疒矢
疼,疒冬
歧,止支
疲,疒皮
關,門幺卯
跳,足兆
疊,田冖且
疋,疋
跌,足失
步,止
疏,疋旈
疌,走肀
麼,麻幺
疆,弓土畺
嚎,口豪
疚,疒久
跟,足艮
疙,疒乞
跛,足皮
刹,杀刀
疒,疒
激,水敫
疑,匕矢疋
跑,足包
藥,艹樂
棱,木夌
廓,广郭
犮,犮
犯,犬卩
犬,犬
澀,水歰
酗,酉凶
犧,牛羲
棵,木果
浦,水甫
牆,爿嗇
劫,去力
配,酉己
棺,木官
犀,尸水牛
犁,利牛
