行,彳丁
展,尸廿衣
腿,月退
腸,月昜
腹,月复
冶,冫台
冷,冫令
腥,月星
腦,月川囟
冫,冫
冬,夂冫
溢,水益
冠,冖元寸
腮,月思
冤,冖兔
冥,冖日六
琉,王旈
冘,冖人
腕,月宛
腐,府肉
癡,疒疑
冒,冃目
冓,再艹
槐,木鬼
冕,冃免
冖,冖
冗,冖几
槍,木倉
冊,冊
再,一冄
冏,冂八口
冀,北異
晶,日
腎,臣又月
冃,冃
冄,冄
内,內
腋,月夜
筋,竹肋
等,竹寺
襲,龍衣
筏,伐竹
筍,竹旬
騰,月半馬
較,車交
筆,竹聿
屁,尸比
輝,光軍
輛,車兩
癩,疒賴
補,衣甫
筒,竹同
筑,巩竹
筐,竹匡
疇,田壽
策,竹朿
答,竹合
輯,車咠
騙,馬扁
輪,車侖
輩,非車
震,雨辰
輦,夫車
輿,與車
輻,車畐
輸,車俞
筷,竹快
惑,或心
翟,羽隹
惕,心易
翔,羊羽
惜,心昔
習,羽白
霎,雨妾
翏,羽昣
翎,令羽
情,心青
翅,支羽
惋,心宛
翁,公羽
惰,心左月
惱,心川囟
想,相心
翹,堯羽
惶,心皇
嶽,山獄
惹,若心
翰,倝羽
槽,木曹
惠,十田心
芽,艹牙
翩,扁羽
惦,心店
渴,水曷
翠,羽卒
瀝,水歷
虧,虍隹丂
瀕,水頻
墮,隋土
虫,虫
墨,黑土
墩,土敦
虱,飞虫
倍,人咅
瀉,水寫
墳,土賁
虹,虫工
墾,豸艮土
虽,口虫
墅,野土
瀾,水闌
境,土竟
虍,虍
虎,虍几
虐,虍肀
糠,米康
處,虎夂
墓,莫土
墜,隊土
增,土曾
虛,丱虍一
虜,虍男
便,人更
號,号虎
諺,言彥
鋒,金夆
諸,言者
榴,木留
諾,言若
環,王睘
泡,水包
諱,言韋
諷,言風
璧,辟玉
鋁,金呂
諮,言咨
脹,月長
鋅,金辛
屠,尸者
猙,犬爭
泥,水尼
屢,尸婁
諜,言枼
慈,兹心
諒,言京
渡,水度
鋸,金居
論,言侖
層,尸曾
請,言青
璃,王离
肛,月工
獅,犬師
勢,埶力
談,言炎
諄,言享
蕭,艹肅
遭,辶曹
橄,木敢
橋,木喬
適,辶啇
倔,人屈
鰭,魚耆
酸,酉夋
蓉,艹容
崖,山厓
崗,山岡
崔,山隹
頭,豆頁
塞,宑土
酵,酉孝
酷,酉告
浙,水折
塑,朔土
藝,艹執云
崇,山宗
烘,火共
酣,酉甘
藕,艹耦
崎,山奇
藐,艹貌
海,水每
浴,水谷
遼,辶尞
藤,艹滕
酒,水酉
浸,水唚
酉,酉
倦,人卷
酋,酉八
忠,中心
藺,閵艹
酌,酉勺
藹,艹謁
浮,水孚
汞,工水
崩,山朋
浪,水良
黔,黑今
江,水工
怕,心白
怔,心正
怖,心布
群,君羊
怒,奴心
思,田心
羨,水羊欠
義,羊我
羲,羊我丂
供,人共
主,主
怎,乍心
羽,羽
帝,帝
毒,丰母
羅,四維
羊,羊
美,羊大
汗,水干
急,刍心
性,心生
橡,木象
怠,台心
羔,羊火
怯,心去
羞,羊丑
怨,夗心
怪,心圣
斯,其斤
遍,辶扁
斬,車斤
斧,父斤
斥,斤
斤,斤
嗦,口索
嗤,口蚩
施,方人也
於,方人
毚,毚
方,方
侌,侌
斷,斤幺乚
幕,莫巾
齊,齊
新,亲斤
膩,月貳
嗎,口馬
膨,月彭
文,人乂
嗇,土人回
中,中
嗅,口臭
脊,月人
斟,甚斗
嗚,口烏
斜,余斗
謎,言迷
料,米斗
嗜,口耆
斗,斗
遇,辶禺
斑,王文
態,能心
除,阝余
陡,阝走
陣,阝車
院,阝完
遀,辶左月
陵,阝夌
陷,阝臽
陶,阝匋
陰,侌阝
陳,阝東
母,母
陽,阝昜
獄,犬言犬
陸,土八阝
丹,丹
附,阝付
型,刑土
降,阝夅
陌,阝百
陋,阝丙乚
限,阝艮
陝,夾阝
轍,車徹
鯽,魚即
轉,車專
膘,月票
轄,車害
轅,車袁
笆,竹巴
笙,竹生
笛,竹由
鯨,魚京
笑,竹夭
笨,竹本
帽,巾冒
第,竹弔
鞍,革安
笤,竹召
符,竹付
常,尚巾
鯉,魚里
閩,門虫
濱,水賓
舒,舍予
荊,艹刑
溝,水冓
粗,米且
源,水原
舟,舟
舞,無舛
鄰,粦阝
舜,爪冖夅
舂,舂
溉,水既
舀,爪臼
與,臼一㇉八
鱷,魚噩
舅,臼男
舄,臼勹火
舊,艹隹臼
舉,與干
興,與同
舍,人舌
舌,干口
島,鳥山
舷,舟玄
舶,舟白
舵,舟它
峰,山夆
船,舟几口
峻,山夋
垢,土后
溫,水囚皿
溪,水奚
溯,水朔
帶,冖巾艹
鄉,乡郎
航,舟亢
峭,山肖
會,會
溥,水尃
般,舟殳
蚤,虫叉
填,土真
烤,火考
蚣,虫公
蚯,虫丘
塢,土烏
蚩,屮虫
蚪,虫斗
膀,月旁
烹,亨火
荸,艹孛
塵,鹿土
塊,土鬼
塌,土日羽
烈,列火
烏,烏
蚊,虫文
塘,土唐
烕,烕
垮,土夸
蚓,虫引
烖,十戈
烙,火各
蚜,牙虫
毫,高毛
塔,土荅
塗,涂土
唧,口即
兼,肀禾
兹,幺八一
典,冊丌
幟,巾戠
兵,斤廾
具,目廾
其,其
共,廿廾
流,水旈
六,人八
公,八厶
廊,广郎
兩,兩
全,人王
八,八
入,入
膠,月翏
內,冂入
兢,克
兜,白儿臼
膛,月堂
膚,虍胃
膝,月桼
膜,月莫
,
兔,兔
丰,丰
兒,臼儿
免,免
兌,八兄
膊,月尃
光,火儿
先,牛儿
克,古儿
華,艹十
充,子儿
兄,口儿
兆,兆
允,厶儿
兀,兀
元,一兀
椅,木奇
潑,水發
植,木直
椎,木隹
評,言平
曙,日署
椒,木叔
札,木乚
敞,尚攵
匾,匚扁
椿,木春
幣,敝巾
築,筑木
範,竹車卩
辛,立十
菱,艹夌
辜,古辛
辟,尸口辛
鼓,壴支
鮮,魚羊
篙,竹高
朦,月蒙
繚,糸尞
辱,辰寸
辰,厂二
農,曲辰
篩,竹師
饞,食毚
辶,辶
蔬,艹疏
悔,心每
篡,算厶
憑,馮心
咼,咼
辣,辛束
唁,口言
咽,口因
辨,辛リ
篷,竹逢
辭,辭
辯,辛言
辮,辛糸
繡,糸肅
菇,艹姑
恒,心亘
更,丙攴
繭,艹糸虫冂
繪,糸會
耿,耳火
恕,如心
攏,手龍
繳,糸敫
恍,心光
恃,心寺
繽,糸賓
繼,糸幺匚
繹,糸睪
唉,口矣
繃,糸崩
繁,敏糸
桼,桼
恰,心合
勉,免力
恨,心艮
恩,因心
息,自心
恬,心舌
恭,共心
恢,心灰
繞,糸堯
匀,匀
恤,心血
恥,耳心
銑,金先
睹,目者
謹,言堇
銘,金名
匆,勿
囑,口屬
銜,行金
銀,金艮
睪,幸四
謬,言翏
銅,金同
睬,目采
督,叔目
睡,目垂
睦,目土八
謠,言月缶
睛,目青
謝,言射
睘,四哀
講,言冓
謙,言兼
椰,木耶
謗,言旁
銼,金坐
劑,齊刀
撫,手無
謊,言荒
潤,水閏
謄,月言
銬,金考
謂,言胃
謁,言曷
謀,言某
寂,宀叔
寇,宀元支
密,宀必山
寅,八宀田
寄,宀奇
富,宀畐
寓,宀禺
阻,阝且
阿,阝可
防,阝方
阱,阝井
察,宀祭
菜,艹采
寢,宀片唚
寡,宀頁刀
寧,宀心皿丁
實,宀貫
寥,宀翏
寫,宀舄
審,宀番
寨,宑木
寬,宀艹見
寶,宀貝王缶
寵,宀龍
阝,阝
寺,土寸
寸,又一
馴,馬川
乓,兵
,
儀,人義
億,人意
儉,人僉
楊,木昜
儒,人需
楔,木契
楓,木風
楞,木四方
楚,林疋
償,人賞
駒,馬句
儡,人田
楣,木眉
曉,日堯
優,人憂
業,业八二木
儲,人諸
楷,木皆
極,木亟
撼,手感
儿,儿
岔,分山
艘,舟叟
滑,水骨
滓,水宰
滔,水舀
滕,月半水
節,竹即
滋,水兹
滌,水條
艇,舟廷
勁,巠力
滄,水倉
滅,水烕
艱,革大艮
色,刀巴
滾,水袞
滿,水兩廿
艹,艹
滲,水參
岸,山厂干
艾,艹乂
滬,水扈
岡,冂山人
艦,舟監
滯,水帶
岩,山石
艮,艮
良,良
旬,勹日
旭,九日
喪,表口
旨,匕日
早,日十
單,口甲一
日,日
旦,日一
既,皀欠
喧,口宣
昂,日卬
喻,口俞
旺,日王
喿,品木
喲,口約
喳,口查
旱,日干
喉,口侯
喊,口咸
族,方人矢
旈,旈
靂,雨歷
旋,方人疋
旅,於人
喂,口畏
善,羊口八
旁,立方
喇,口剌
喘,口耑
萍,水苹
喚,口奐
喜,壴口
喝,口曷
鼠,鼠
器,口犬
圍,囗韋
旗,方人其
臼,臼
臽,刀臼
致,至攵
至,一厶土
臭,自犬
自,自
臨,臣人品
臧,片臣戊
臤,臣又
臥,人臣
臣,臣
臘,月巤
鹹,咸鹵
蔽,艹敝
撞,手童
臍,月齊
臊,月喿
臉,月僉
臂,辟月
臀,殿月
宀,宀
韭,非一
它,宀匕
宅,宀乇
宇,宀于
守,宀寸
安,宀女
宋,宀木
完,宀元
宏,宀厷
響,鄉音
宑,宑
韻,言員
宗,宀示
官,宀垖
宙,宀由
定,宀疋
宛,宀夗
宜,宀且
韱,人非戈
客,宀各
宣,宀亘
韋,韋
宦,宀臣
掰,手分
宮,宀呂
宰,宀辛
饑,食幾
害,宀丰口
宴,宀妟
宵,宀肖
家,宀豕
容,宀谷
線,糸泉
韓,十早韋
宿,宀人百
返,辶反
算,竹目廾
箕,竹其
禍,示咼
迄,辶乞
迅,辶卂
迂,辶于
迎,辶卬
箏,竹爭
箍,竹手匝
迷,辶米
禁,林示
述,辶术
追,辶垖
管,竹官
迫,辶白
箭,竹前
堯,土兀
堪,土甚
項,工頁
炮,火包
炬,火巨
炭,山灰
炫,火玄
粒,米立
堡,保土
堿,土咸
煎,前火
蛹,虫甬
蛾,虫我
場,土昜
堵,土者
為,為
炸,火乍
報,幸卩又
蛋,疋虫
蛉,令虫
炎,火
堇,堇
蛀,虫主
堅,臣又土
堂,尚土
蛇,虫它
蛛,虫朱
炕,火亢
炒,火少
縫,糸逢
恐,巩心
蛔,虫回
萄,艹匋
譽,與言
鉗,金甘
眼,目艮
眾,四人人
譴,言遣
騾,馬累
護,言蒦
議,言義
鉛,金几口
眷,目
眨,目乏
譯,言四幸
鉀,金甲
眯,目米
眠,目民
警,敬言
譜,言普
識,言戠
譚,言覃
真,十具
眉,尸目
看,手目
證,言登
省,少目
眇,目少
檸,木寧
粟,西米
課,言果
掄,手侖
樹,尌木
穢,歲禾
僅,人堇
像,人象
檁,木稟
檀,木亶
僉,人口亼
僕,人菐
僑,人喬
瘋,疒風
僚,人尞
嬌,女喬
檔,木當
僧,人曾
僥,人堯
檬,木蒙
檢,木僉
灑,水麗
僵,人畺
瓢,票瓜
掉,手卓
僻,人辟
價,人買
瓤,瓜襄
魁,鬼斗
魂,云鬼
魄,白鬼
縣,且小系
根,木艮
憔,心焦
魏,委鬼
憐,心粦
憎,心曾
縷,糸婁
憋,敝心
憊,備心
總,糸悤
績,糸責
魚,魚
憂,憂
憾,心感
瘟,疒昷
憶,心意
憲,宀四心丰
魯,魚日
縕,糸囚皿
織,糸戠
搭,手荅
憨,敢心
憤,心賁
縛,糸專
瘤,疒留
攵,攵
攴,十又
收,丩攵
改,己攵
攸,人攵
攻,工攵
啦,口拉
啡,口非
政,正攵
放,方攵
蔫,艹焉
啼,口帝
耙,巴耒
攤,手難
騷,馬蚤
攪,手覺
蔥,艹悤
支,十又
蠅,黽虫
問,門口
譬,辟言
攔,手闌
啊,口阿
鳳,几鳥一
啄,口豕
啇,立冏古
商,立冏
攝,手耳
攜,催冏
啃,口肯
鳴,口鳥
攀,樊手
啟,启攵
啞,口亞
啚,入回
鳧,鳥几
敵,啇攵
鳥,鳥
矽,石夕
語,言吾
鈞,金匀
灌,水雚
鑼,金羅
石,石
鈕,金丑
短,矢豆
矯,矢喬
鈉,金内
矩,矢巨
鈍,金屯
知,矢口
矣,厶失
矢,矢
矛,矛
矗,直
鈴,金令
撮,手最
鈣,金丐
娜,女那
鞭,革便
鬧,鬥市
變,言幺火
鞠,革匊
鑰,金龠
孕,乃子
孔,子乚
字,宀子
鬥,鬥
子,子
孝,耂子
鬢,髟賓
孟,子皿
鑲,金襄
存,才子
孛,十冖子
孚,爪子
孤,子瓜
鞏,巩革
季,禾子
鞋,革圭
摸,手莫
孩,子亥
孫,子系
孵,卵孚
孰,丸享
娘,女良
孽,薛子
媳,女息
學,與冖爻子
渙,水奐
屜,尸彳世
減,水咸
芒,艹亡
芝,艹之
蹬,足登
芙,艹夫
屈,尸出
屋,尸至
屍,尸死
屏,尸并
屎,尸米
芍,勺艹
局,尺口
居,尸古
芋,艹于
屆,尸土凵
屹,山乞
渾,水軍
花,艹化
賤,貝戈
芳,艹方
渺,水眇
山,山
屰,屰
芹,艹斤
芻,芻
芥,艹介
測,水則
港,水巷
屬,尸水蜀
屯,屮一
屮,屮
芭,艹巴
芬,艹分
芯,艹心
渦,水咼
履,尸彳复
渠,水巨木
渣,水查
娶,取女
忱,心冘
獨,犬蜀
念,今心
忿,分心
忽,勿心
獻,虍鬲犬
獸,犬口田一
蜻,虫青
賬,貝長
快,心夬
獲,犬蒦
獰,犬寧
懦,心需
獵,犬巤
志,士心
獎,將大
蜈,虫吳
忙,心亡
忘,亡心
蜂,虫夆
忝,天小
蜀,四勹虫
心,心
蜜,宀必虫
必,弋八
蜘,虫知
蜓,虫廷
蜒,虫延
忍,刃心
忌,己心
魔,麻鬼
敷,甫方攵
整,束攵正
唱,口昌
敲,高攴
斃,敝死
唾,口垂
罵,四馬
數,婁攵
敦,享攵
敢,耳攵
散,廿月攵
捧,手奉
敬,苟攵
售,隹口
敫,敫
唬,口虎
敖,敖
敗,貝攵
唐,庚口
巍,山魏
救,求攵
唚,帚又
熒,火冖
敝,巾攵
敘,余攵
教,孝攵
故,古攵
唆,口夋
唇,辰口
敏,每攵
突,穴犬
效,交攵
終,糸冬
絆,糸半
組,糸且
結,糸吉
絕,糸刀巴
鑄,金壽
壓,厭土
絞,糸交
絜,丰刀糸
蔗,艹庶
絡,糸各
給,糸合
罪,四非
絨,糸戎
絮,如糸
絲,糸
統,糸充
坦,土旦
巟,亡川
絹,糸肙
穗,禾惠
捕,手甫
川,川
赦,赤攵
穆,禾帛彡
些,此二
階,阝皆
穀,士冖禾殳
蝌,虫科
穎,匕禾頁
積,禾責
蝶,虫枼
究,穴九
穴,宀八
窯,穴羔
穿,穴牙
谷,谷
空,穴工
捍,手旱
猶,犬酋
穩,禾隱
涯,水厓
株,木朱
逐,辶豕
隘,阝益
懈,心解
應,广人隹心
懊,心奥
懇,豸艮心
懂,心董
逗,辶豆
懼,心瞿
赴,走卜
際,阝祭
懸,縣心
寒,宑冫
障,阝章
懶,心賴
懷,心四衣水
懲,徵心
起,走己
鬲,鬲
逛,辶狂
鬼,鬼
猩,犬星
這,辶言
誘,言秀
徵,微王
德,彳直心
徹,育攵
蝦,虫叚
蝠,虫畐
徽,彳山系攵
速,辶束
蝸,虫咼
猾,犬骨
猿,犬袁
蝴,虫胡
循,彳盾
逝,辶折
猴,犬侯
微,彳山兀攵
徐,彳余
徑,彳巠
徒,彳走
得,彳旦寸
徘,彳非
徙,彳止疋
從,彳人疋
寞,宀莫
往,彳主
征,彳正
猛,犬孟
猜,犬青
待,彳寺
很,彳艮
逆,辶屰
徊,彳回
律,彳聿
後,彳糸
猖,犬昌
蝙,虫扁
鏟,金產
蟻,虫義
蝕,食虫
蟹,解虫
涵,水函
鏽,金肅
蝗,虫皇
概,木既
液,水夜
蟥,虫黃
鏡,金竟
傅,人尃
估,人古
傀,人鬼
伶,人令
伴,人半
伺,人司
伸,人申
似,人以
醬,將酉
傑,人桀
栓,木全
伯,人白
備,備
休,人木
伐,人戈
催,人崔
傭,人庸
燒,火堯
櫥,木廚
堤,土是
債,人責
企,人止
傷,人昜人
傲,人敖
傳,人專
伊,人尹
傾,人頃
伏,人犬
框,木匡
伍,人五
傻,俊囟
尞,火日小
苛,艹可
尚,八向
苟,艹句
尖,小大
燙,湯火
尔,人小
苗,艹田
苔,艹台
少,小
導,道寸
小,小
尌,寸壴
對,业羊寸
尊,酋寸
專,車寸
尉,尸示寸
將,片夕寸
射,身寸
尃,甫寸
封,圭寸
尾,尸毛
尿,尸水
尼,尸匕
苹,平艹
尺,尺
醒,酉星
尸,尸
尹,尹
湊,水奏
瑞,王耑
英,艹央
奏,丰天
就,京尤
苫,艹占
湖,水胡
尤,大
苦,艹古
醞,酉昷
若,艹右
燃,火然
愧,心鬼
鏈,金連
飄,票風
飛,飞升
食,亼艮
飞,飞
覀,覀
派,水氏
覃,早覀
愁,秋心
蟆,虫莫
續,糸賣
飯,食反
愉,心俞
愈,俞心
意,音心
鈔,金少
醇,酉享
愕,心咢
飾,食布
飽,食包
飼,食司
纖,糸韱
飲,食欠
愛,爪冖心夂
愚,禺心
纓,糸嬰
感,咸心
式,弋工
哲,折口
鱗,魚粦
哼,口亨
哺,口甫
暴,日共水
暫,斬日
哥,可
鱉,敝魚
暮,莫日
員,口貝
她,女也
哭,口犬
哪,口那
哩,口里
哨,口肖
梢,木肖
暑,日者
暗,日音
暖,日爰
哆,口多
暈,日冖車
品,口
哀,衣口
哎,口艾
暇,日叚
哉,烖口
哈,口合
嬉,女喜
耽,耳冘
瞄,目苗
靶,革巴
瞎,目害
靡,麻非
靠,告非
面,囗自
革,革
瞞,目兩卄
青,生月
瞧,目焦
靖,立青
瞪,目登
勳,熏力
灘,水難
靜,青爭
瞬,目舜
非,非
瞳,目童
嬸,審女
親,亲見
靈,雨口巫
嬰,貝女
瞿,目隹
鉚,金卯
豐,豆丰凵
稟,人回禾
豔,豐盍
豕,豕
稚,禾隹
豈,山豆
稅,禾兌
豊,曲豆
稀,禾希
蘭,艹闌
豎,臤豆
稍,禾肖
稈,禾旱
豆,豆
程,禾呈
豸,豸
豹,豸勺
豺,豸才
韁,革畺
稱,禾爪冉
稼,禾家
稽,禾尤旨
稿,禾高
稻,禾舀
考,耂丂
豪,高豕
豫,予象
稠,禾周
象,象
種,禾重
豦,虍豕
譏,言幾
口,口
叢,丵取
澤,水四幸
另,口力
句,勹口
古,十口
叫,口丩
只,口八
叨,口刀
可,丂口
叮,口丁
叭,口八
召,刀口
右,又口
史,中又
台,厶口
号,口丂
者,耂日
茉,艹末
創,倉刀
茅,艹矛
司,人一口
茂,艹戊
茁,艹出
叼,口刁
參,厶人彡
澆,水堯
澄,水登
淪,水侖
茸,艹耳
友,又又
茶,艹人木
叉,又
又,又
梁,水刃木
反,厂又
澈,水徹
澗,水間
栽,木烖
茬,艹在
茫,艹水亡
取,耳又
叔,上小又
叛,半反
叚,尸二又
叟,臼又
班,王リ
櫃,木匱
影,景彡
梅,木每
彳,彳
彼,彳皮
螺,虫累
役,彳殳
珠,王朱
核,木亥
彥,文厂彡
彤,丹彡
螢,火冖虫
彡,彡
形,开彡
彭,壴彡
彬,林彡
彩,采彡
動,重力
彪,虎彡
录,彐水
彔,彔
彗,丰彐
彖,豕
彐,彐
珊,王冊
螟,虫冥
螞,虫馬
螃,虫旁
蘊,艹縕
彌,弓爾
彎,糸言弓
融,鬲虫
彈,弓單
紀,糸己
約,糸勺
紅,糸工
蒼,艹倉
紉,糸刃
紊,文糸
紋,糸文
暢,申昜
納,糸內
紐,糸丑
純,糸屯
碴,石查
紗,糸少
紙,糸氏
級,糸及
紛,糸分
狼,犬良
素,生糸
紡,糸方
索,十冖糸
燦,火粲
傘,人十
紫,此糸
蘑,艹磨
紮,札糸
累,田糸
細,糸田
紳,糸申
副,畐刀
艙,舟倉
紹,糸召
仙,人山
偉,人韋
佳,人圭
偏,人扁
樊,乂木大
樁,木舂
栗,西木
假,人叚
樂,幺白木
你,人尔
樟,木章
做,人故
標,木票
停,人亭
佩,人凡巾
樓,婁木
剔,易刀
佑,人右
何,人可
佘,佘
余,余
佛,人弗
作,人乍
樣,木羊永
佃,人田
偽,人為
樸,木菐
但,人旦
樺,木華
亶,人回旦
偵,人貞
位,人立
棥,木乂
住,人主
貝,貝
貞,貞
竟,音儿
貓,豸苗
貌,豸白儿
立,立
竊,穴采禼
竅,穴敫
竄,穴鼠
摯,執手
竹,竹
肝,月干
貿,卯貝
貸,代貝
竿,竹干
貴,中一貝
買,四貝
貶,貝乏
貳,弋二貝
競,立兄
責,王貝
貯,貝宀丁
櫻,木嬰
販,貝反
貨,化貝
貫,貫
貪,今貝
肙,口月
貧,分貝
童,立里
負,刀貝
貢,工貝
慧,彗心
慢,心曼
則,貝刀
剖,咅刀
慮,虍思
慨,心既
摧,手崔
慶,鹿愛
慷,心康
祠,示司
祥,示羊
票,覀示
祭,月又示
風,几一虫
嘶,口斯
份,人分
祖,示且
颯,立風
慎,心真
慌,心荒
祟,出示
神,示申
祝,示兄
任,人壬
慕,莫心
祈,示斤
慚,心斬
慘,心參
齡,齒令
滴,水啇
鎖,金小貝
經,糸巠
撣,手單
苞,艹包
湧,水勇
唯,口隹
褲,衣庫
鎬,金高
鎮,金真
嫌,女兼
露,雨路
療,疒尞
嫉,女疾
癌,疒品山
嫂,女叟
霸,雨革月
湯,水昜
霧,雨務
蠟,虫巤
癟,疒侖自
蠕,虫需
癢,疒養
嫩,女束攵
霞,雨叚
蠢,春虫
霜,雨相
癬,疒鮮
嫡,女啇
蠻,糸言虫
癶,癶
需,雨而
劃,畫刀
百,一白
白,日
發,癶弓殳
登,癶豆
蠶,朁虫
癸,癶天
侵,人唚
侶,人呂
個,人固
倉,人戶一口
倆,人兩
橘,木矛冏
橙,木登
森,木
機,木幾
借,人昔
麩,麥夫
倝,倝
倚,人奇
倘,人尚
候,侯
喬,喬
侯,人丩矢
侮,人每
倒,人到
們,人門
侖,侖
倫,人侖
嘗,尚旨
依,人衣
嘔,口區
氏,氏
倡,人昌
橢,木隋
侄,人至
值,人直
來,木人
侍,人寺
橫,木黃
侈,人多
例,人列
濤,水壽
湃,水拜
荔,艹力
厭,厂冒犬
荒,艹巟
濫,水監
厲,厂萬
草,艹早
厶,厶
厷,又厶
荅,艹合
濾,水慮
去,土厶
濺,水貝戈
淵,水片一片
厂,厂
厃,人厂
厄,厂卩
濁,水蜀
礦,石廣
濃,水農
荷,艹何
濕,水日幺火
厓,厂圭
厘,厂里
厚,厂日子
濟,水齊
濘,水寧
原,厂泉
書,聿日
曹,卄曰
曼,日四又
咱,口自
曾,曾
咳,口亥
曰,曰
執,幸丸
曲,曲
咸,戊一口
曷,曷
咧,口列
咠,口耳
咢,丂口
咬,口交
蝟,虫胃
咨,次口
咪,口米
咕,口古
咖,口加
咐,口付
咒,口几
質,斤貝
咅,立口
咆,口包
和,禾口
曆,厂禾日
曇,日雲
緊,臣又糸
腺,月泉
緒,糸者
槳,將木
湘,水相
棕,木宗
締,糸帝
緣,糸彖
棗,朿
緬,糸面
緯,糸韋
緩,糸爰
編,糸扁
練,糸柬
癮,疒隱
修,攸彡
行,彳丁
衍,行水
血,皿
鼻,自畀
衙,行吾
鸚,嬰鳥
衛,行韋
媚,女眉
瘓,疒奐
躁,足喿
術,行术
媒,女某
街,行圭
表,王衣
衩,衣叉
瘦,疒叟
衫,衣彡
瘡,疒倉
簽,竹僉
膿,月農
衡,魚行大
衣,衣
瘩,疒荅
殊,歹朱
媽,女馬
衰,衣冄
棘,朿
腫,月重
瘸,疒加肉
衷,衣中
賢,呈又貝
賣,士買
賠,貝咅
賦,貝武
窘,穴君
豬,豕者
窖,穴告
窗,穴囱
窒,穴至
俘,人孚
梧,木吾
賭,貝者
鄧,登阝
賴,束負
賺,貝兼
俞,亼月刀
窄,穴乍
購,貝冓
賽,宀弄貝
賂,貝各
賃,任貝
賀,加貝
賁,十貝艹
窺,穴規
資,次貝
賄,貝有
賊,貝戎
賈,西貝
賒,貝佘
賓,宀少貝
窪,穴洼
窩,穴咼
賞,尚貝
培,土咅
賜,貝易
玲,王令
蟲,虫
玷,王占
玻,王皮
弱,弓二
強,弓厶虫
張,弓長
惡,亞心
燭,火蜀
玫,王攵
蟬,虫單
玩,王元
弦,弓玄
弧,弓瓜
弛,弓也
玖,王久
弟,八弔
冉,冉
弓,弓
弗,弔
弔,弓
引,弓
弊,敝廾
弋,弋
率,玄十冫
玄,人幺
王,王
开,廾一
玉,王
蟋,虫悉
弄,王廾
隱,急工阝爪
纏,糸廛
構,木冓
鍬,金秋
㇉,㇉
替,夫日
鍵,金建
欖,木覽
冂,冂
鍁,金欣
簷,竹詹
鍋,金咼
鍍,金度
黑,里火
磨,麻石
鍘,金則
鍛,金段
額,客頁
綁,糸邦
綜,糸宗
涼,水京
默,黑犬
載,烖車
維,糸隹
綢,糸周
綠,糸彔
纜,糸覽
點,黑占
綻,糸定
綿,糸帛
綽,糸卓
網,糸罔
綱,糸岡
綴,糸又
俺,人奄
殖,歹直
九,九
俱,人具
域,土或
坷,土可
殘,歹戈
埃,土矣
埂,土更
欺,其欠
殃,歹央
俯,人府
埋,土里
欽,金欠
俠,彳夾
信,人言
城,土成
殉,歹旬
殷,身殳
段,爪殳
殳,几又
埶,坴丸
保,人呆
殿,尸共殳
基,其土
俐,人利
殼,壳殳
俗,人谷
殹,殹
俊,人夋
埠,土垖十
俏,人肖
促,人足
俄,人我
披,手皮
題,是頁
顏,彥頁
黨,尚黑
顛,真頁
抬,手台
示,示
顆,果頁
銳,金兌
社,示土
抹,手末
類,类頁
願,原頁
抽,手由
押,手甲
抱,手包
礫,石樂
礬,棥大石
輕,車巠
抵,手氐
把,手巴
顯,日幺火頁
輔,車甫
顫,亶頁
坤,土申
礙,石疑
顧,雇頁
技,手支
抄,手少
傍,人旁
礁,石焦
折,手斤
抓,手爪
抒,手予
抑,手卬
抗,手亢
抖,手斗
投,手殳
呻,口申
命,亼口卩
呼,口乎
昵,日尼
昷,日皿
黴,徵黑
呵,口可
昭,日召
周,用口
是,日疋
罕,穴干
欠,欠
春,丰日
昧,日未
呢,口尼
坯,土丕
昣,人彡
昜,昜
星,日生
漠,水莫
昔,廿日
易,日勿
鷗,區鳥
昌,日曰
昏,氏日
告,牛口
黽,黽
呀,口牙
呂,呂
啥,口舍
呆,口木
沃,水夭
錢,金戈
銷,金肖
錠,金定
曬,日麗
錯,金昔
沉,水冗
沈,水冘
錫,金易
錨,金苗
沒,水勹又
沐,水木
沖,水中
哮,口孝
沛,水巿
沙,水少
錄,金彖
藍,艹監
沫,水末
沮,水且
河,水可
礎,石楚
錐,金隹
治,水台
騎,馬奇
油,水由
沸,水弗
沿,水几口
沾,水占
錘,金錘
沼,水召
袍,衣包
盈,乃又皿
益,水皿
盍,去皿
袋,代衣
婚,女昏
袁,衣口土
盆,分皿
婁,婁
盛,成皿
袞,衣八口
盜,水欠皿
盟,明皿
婆,波女
婉,女宛
袖,衣由
盔,灰皿
袒,衣旦
盯,目丁
目,目
盡,皿火聿
顱,盧頁
監,亼臣皿
盤,般皿
盧,虍田皿
盹,目屯
相,木目
盼,目分
盾,目十
盲,亡目
袱,衣伏
直,十目
漩,水旋
卤,卤
漫,水曼
卦,圭卜
卡,上下
占,卜口
卬,卬
莫,艹日大
漢,革大水
卩,卩
卵,卯
漸,水斬
卷,半卩
危,厃卩
印,爪卩
即,皀卩
漾,水羊永
漱,水欶
卿,卯皀
漲,水張
莽,艹犬卄
卸,午止卩
卻,谷卩
卄,卄
升,升
十,十
區,品匚
千,十
卂,卂
莉,艹利
音,立日
莊,艹壯
午,午
半,半
協,十力
南,十半冂
哄,口共
卑,又甲
卓,上早
卒,人人十
卜,卜
漓,水离
味,口未
博,十尃
廿,廿
廾,廾
建,廴聿
落,艹洛
