扯	che3	手 shŏu; 止 zhĭ
堆	dui1 zui1	土 tŭ; 隹 zhuī cuī
队	dui4	阜 fù; 人 rén
对	dui4	又 yòu; 寸 cùn
兑	dui4	八 bā bá; 兄 xiōng
吨	dun1	口 kŏu; 屯 tún zhūn
敦	dun1 dui4	享 xiăng; 攵 pō
墩	dun1	土 tŭ; 敦 dūn duì
蹲	dun1 cun2	足 zú jù; 尊 zūn
盹	dun3	目 mù; 屯 tún zhūn
囤	dun4 tun2	囗 wéi; 屯 tún zhūn
盾	dun4 shun3	目 mù; 又 yòu
钝	dun4	金 jīn; 屯 tún zhūn
顿	dun4 du2	屯 tún zhūn; 页 yè
多	duo1	夕 xī xì
哆	duo1	口 kŏu; 多 duō
夺	duo2	大 dà dài; 寸 cùn
踱	duo2	足 zú jù; 度 dù duó duò
朵	duo3	几 jĭ jī; 木 mù
垛	duo3 duo4	土 tŭ; 朵 duŏ
躲	duo3	身 shēn juān; 朵 duŏ
堕	duo4 hui1	阜 fù; 有 yŏu yòu; 土 tŭ
舵	duo4 tuo2	舟 zhōu; 它 tā
惰	duo4	心 xīn; 左 zuŏ; 月 yuè
跺	duo4	足 zú jù; 朵 duŏ
讹	e2	言 yán; 化 huà huā
俄	e2 e4	人 rén; 我 wŏ
鹅	e2	我 wŏ; 鸟 niăo diăo
蛾	e2 yi3	虫 chóng huĭ; 我 wŏ
额	e2	客 kè; 页 yè
厄	e4	厂 chăng hăn ān; 卩 jié
扼	e4	手 shŏu; 厄 è
咢	e4	口 kŏu; 亏 kuī
恶	e4 e3 wu4 wu1	亚 yà; 心 xīn
饿	e4	食 shí sì yì; 我 wŏ
愕	e4	心 xīn; 咢 è
遏	e4	辶 chuò; 曷 hé
噩	e4	王 wáng wàng; 口 kŏu
鳄	e4	鱼 yú; 咢 è
恩	en1	因 yīn; 心 xīn
儿	er2 r2	儿 ér r2
而	er2	而 ér
尔	er3	人 rén; 小 xiăo
耳	er3	耳 ĕr
饵	er3	食 shí sì yì; 耳 ĕr
二	er4	一 yī
贰	er4	弋 yì; 二 èr; 贝 bèi
发	fa1 fa4	又 yòu
乏	fa2	乏 fá
伐	fa2 fa1	人 rén; 戈 gē
罚	fa2	网 wăng; 言 yán; 刀 dāo
阀	fa2	门 mén; 伐 fá fā
筏	fa2	竹 zhú; 伐 fá fā
法	fa3	水 shuĭ; 去 qù
帆	fan1 fan2	巾 jīn; 凡 fán
番	fan1 pan1	采 căi cài; 田 tián
翻	fan1	番 fān pān; 羽 yŭ
凡	fan2	凡 fán
矾	fan2	石 shí dàn; 凡 fán
烦	fan2	火 huŏ; 页 yè
樊	fan2	乂 yì ài; 木 mù; 大 dà dài
繁	fan2 po2	敏 mĭn; 糸 mì
反	fan3	厂 chăng hăn ān; 又 yòu
返	fan3	辶 chuò; 反 făn
犯	fan4	犬 quăn quán; 卩 jié
泛	fan4 fan2	水 shuĭ; 乏 fá
饭	fan4	食 shí sì yì; 反 făn
范	fan4	艹 căo; 水 shuĭ; 卩 jié
贩	fan4	贝 bèi; 反 făn
匚	fang1 xi3	匚 fāng xĭ
方	fang1	方 fāng
坊	fang1 fang2	土 tŭ; 方 fāng
芳	fang1	艹 căo; 方 fāng
防	fang2	阜 fù; 方 fāng
妨	fang2 fang1	女 nǚ rŭ; 方 fāng
房	fang2	户 hù; 方 fāng
肪	fang2	月 yuè; 方 fāng
仿	fang3	人 rén; 方 fāng
访	fang3	言 yán; 方 fāng
纺	fang3	糸 mì; 方 fāng
放	fang4	方 fāng; 攵 pō
飞	fei1	飞 fēi
非	fei1	非 fēi
啡	fei1	口 kŏu; 非 fēi
菲	fei1 fei3	艹 căo; 非 fēi
肥	fei2	月 yuè; 巴 bā
匪	fei3	匚 fāng xĭ; 非 fēi
诽	fei3	言 yán; 非 fēi
吠	fei4	口 kŏu; 犬 quăn quán
废	fei4	广 guăng ān; 发 fā fà
沸	fei4	水 shuĭ; 弗 fú
肺	fei4	月 yuè; 巿 fú
费	fei4	弗 fú; 贝 bèi
分	fen1 fen4	八 bā bá; 刀 dāo
吩	fen1	口 kŏu; 分 fēn fèn
纷	fen1	糸 mì; 分 fēn fèn
芬	fen1	艹 căo; 分 fēn fèn
氛	fen1	气 qì; 分 fēn fèn
坟	fen2	土 tŭ; 文 wén wèn
焚	fen2	林 lín; 火 huŏ
粉	fen3	米 mĭ; 分 fēn fèn
份	fen4	人 rén; 分 fēn fèn
奋	fen4	大 dà dài; 田 tián
忿	fen4	分 fēn fèn; 心 xīn
愤	fen4	心 xīn; 贲 bì bēn
粪	fen4	米 mĭ; 共 gòng gōng gŏng
丰	feng1	丰 fēng
风	feng1	几 jĭ jī; 乂 yì ài
枫	feng1	木 mù; 风 fēng
封	feng1	圭 guī; 寸 cùn
疯	feng1	疒 chuáng; 风 fēng
峰	feng1	山 shān; 夆 féng
锋	feng1	金 jīn; 夆 féng
蜂	feng1	虫 chóng huĭ; 夆 féng
冯	feng2 ping2	冫 bīng; 马 mă
夆	feng2	夂 zhĭ; 丰 fēng
逢	feng2	辶 chuò; 夆 féng
缝	feng2 feng4	糸 mì; 逢 féng
讽	feng3	言 yán; 风 fēng
凤	feng4	几 jĭ jī; 又 yòu
奉	feng4	丰 fēng; 廾 gŏng
佛	fo2 fu2	人 rén; 弗 fú
缶	fou3	缶 fŏu
否	fou3 pi3	不 bù bú fŏu; 口 kŏu
夫	fu1 fu2	大 dà dài; 一 yī
肤	fu1	月 yuè; 夫 fū fú
尃	fu1	甫 fŭ; 寸 cùn
麸	fu1	麦 mài; 夫 fū fú
孵	fu1	卵 luăn; 孚 fú
敷	fu1	甫 fŭ; 方 fāng; 攵 pō
巿	fu2	巾 jīn; 十 shí
弗	fu2	弔 diào
伏	fu2	人 rén; 犬 quăn quán
凫	fu2	鸟 niăo diăo; 几 jĭ jī
孚	fu2	爪 zhuă zhăo; 子 zi zĭ zí
扶	fu2	手 shŏu; 夫 fū fú
芙	fu2	艹 căo; 夫 fū fú
拂	fu2 bi4	手 shŏu; 弗 fú
服	fu2 fu4	月 yuè; 卩 jié; 又 yòu
俘	fu2	人 rén; 孚 fú
畐	fu4	畐 fù
浮	fu2	水 shuĭ; 孚 fú
符	fu2	竹 zhú; 付 fù
袱	fu2	衣 yī yì yĭ; 伏 fú
幅	fu2	巾 jīn; 畐 fù
福	fu2	示 shì; 畐 fù
辐	fu2	车 chē jū; 畐 fù
蝠	fu2	虫 chóng huĭ; 畐 fù
抚	fu3	手 shŏu; 无 wú mó
甫	fu3	用 yòng; 父 fù fŭ
府	fu3	广 guăng ān; 付 fù
斧	fu3	父 fù fŭ; 斤 jīn jin
俯	fu3	人 rén; 府 fŭ
脯	fu3 pu2	月 yuè; 甫 fŭ
辅	fu3	车 chē jū; 甫 fŭ
腐	fu3	府 fŭ; 肉 ròu
父	fu4 fu3	又 yòu
付	fu4	人 rén; 寸 cùn
妇	fu4	女 nǚ rŭ; 彐 jì
负	fu4	人 rén; 贝 bèi
附	fu4	阜 fù; 付 fù
咐	fu4 fu5	口 kŏu; 付 fù
阜	fu4	阜 fù
复	fu4	人 rén; 日 rì; 夂 zhĭ
赴	fu4	走 zŏu; 卜 bŭ bo
副	fu4	畐 fù; 刀 dāo
傅	fu4	人 rén; 尃 fū
富	fu4	宀 mián; 畐 fù
赋	fu4	贝 bèi; 武 wŭ
缚	fu4	糸 mì; 尃 fū
腹	fu4	月 yuè; 复 fù
覆	fu4	西 xī; 彳 chì; 复 fù
该	gai1	言 yán; 亥 hài
改	gai3	己 jĭ; 攵 pō
丐	gai4	下 xià; 勹 bāo
钙	gai4	金 jīn; 丐 gài
盖	gai4 ge3	羊 yáng; 皿 mĭn
溉	gai4	水 shuĭ; 既 jì
概	gai4	木 mù; 既 jì
干	gan1 gan4	干 gān gàn
甘	gan1	口 kŏu; 一 yī
杆	gan1 gan3	木 mù; 干 gān gàn
肝	gan1	月 yuè; 干 gān gàn
柑	gan1	木 mù; 甘 gān
竿	gan1	竹 zhú; 干 gān gàn
秆	gan3	禾 hé; 干 gān gàn
赶	gan3	走 zŏu; 干 gān gàn
敢	gan3	耳 ĕr; 攵 pō
感	gan3	咸 xián; 心 xīn
橄	gan3	木 mù; 敢 găn
倝	gan4	十 shí; 旱 hàn; 人 rén
冈	gang1	网 wăng
刚	gang1	冈 gāng; 刀 dāo
岗	gang3 gang1	山 shān; 冈 gāng
纲	gang1	糸 mì; 冈 gāng
肛	gang1	月 yuè; 工 gōng
缸	gang1	缶 fŏu; 工 gōng
钢	gang1 gang4	金 jīn; 冈 gāng
港	gang3	水 shuĭ; 巷 xiàng hàng
杠	gang1 gang4	木 mù; 工 gōng
羔	gao1	羊 yáng; 火 huŏ
高	gao1	高 gāo
睪	gao1	又 yòu; 二 èr
膏	gao1 gao4	高 gāo; 月 yuè
篙	gao1	竹 zhú; 高 gāo
糕	gao1	米 mĭ; 羔 gāo
搞	gao3	手 shŏu; 高 gāo
稿	gao3	禾 hé; 高 gāo
镐	hao4 gao3	金 jīn; 高 gāo
告	gao4 gu4	牛 niú; 口 kŏu
戈	ge1	戈 gē
疙	ge1	疒 chuáng; 乞 qĭ
哥	ge1	可 kĕ kè
胳	ge1 ga1 ge2	月 yuè; 各 gè gĕ
鸽	ge1	合 hé gĕ; 鸟 niăo diăo
割	ge1	害 hài; 刀 dāo
搁	ge1 ge2	手 shŏu; 阁 gé
歌	ge1	哥 gē; 欠 qiàn qian
阁	ge2	门 mén; 各 gè gĕ
革	ge2 ji2 ji3	革 gé jí jĭ
格	ge2	木 mù; 各 gè gĕ
鬲	li4 ge2	鬲 lì gé
葛	ge3 ge2	艹 căo; 曷 hé
蛤	ha2 ge2	虫 chóng huĭ; 合 hé gĕ
隔	ge2	阜 fù; 鬲 lì gé
个	ge4 ge3	竹 zhú
各	ge4 ge3	夂 zhĭ; 口 kŏu
给	ji3 gei3	糸 mì; 合 hé gĕ
根	gen1	木 mù; 艮 gèn gĕn
跟	gen1	足 zú jù; 艮 gèn gĕn
亘	gen4	二 èr; 日 rì
艮	gen4 gen3	目 mù; 匕 bĭ
更	geng4 geng1	丙 bĭng; 攵 pō
庚	geng1	广 guăng ān; 又 yòu; 人 rén
耕	geng1	耒 lĕi; 井 jĭng
羹	geng1	羔 gāo; 美 mĕi
埂	geng3	土 tŭ; 更 gèng gēng
耿	geng3	耳 ĕr; 火 huŏ
梗	geng3	木 mù; 更 gèng gēng
工	gong1	工 gōng
弓	gong1	弓 gōng
公	gong1	八 bā bá; 厶 sī
厷	si1	又 yòu; 厶 sī
功	gong1	工 gōng; 力 lì
攻	gong1	工 gōng; 攵 pō
供	gong1 gong4	人 rén; 共 gòng gōng gŏng
宫	gong1	宀 mián; 吕 lǚ
恭	gong1	共 gòng gōng gŏng; 心 xīn
蚣	gong1	虫 chóng huĭ; 公 gōng
躬	gong1	身 shēn juān; 弓 gōng
廾	gong3	廾 gŏng
巩	gong3	工 gōng; 凡 fán
汞	gong3 hong4	工 gōng; 水 shuĭ
拱	gong3	手 shŏu; 共 gòng gōng gŏng
共	gong4 gong1 gong3	廿 niàn; 廾 gŏng
贡	gong4	工 gōng; 贝 bèi
勾	gou1 gou4	勹 bāo; 厶 sī
沟	gou1	水 shuĭ; 勾 gōu gòu
钩	gou1	金 jīn; 勾 gōu gòu
狗	gou3	犬 quăn quán; 句 jù gōu
苟	gou3	艹 căo; 句 jù gōu
构	gou4	木 mù; 勾 gōu gòu
购	gou4	贝 bèi; 勾 gōu gòu
垢	gou4	土 tŭ; 后 hòu
够	gou4	句 jù gōu; 多 duō
估	gu1 gu4	人 rén; 古 gŭ
咕	gu1	口 kŏu; 古 gŭ
姑	gu1	女 nǚ rŭ; 古 gŭ
孤	gu1	子 zi zĭ zí; 瓜 guā
沽	gu1	水 shuĭ; 古 gŭ
菇	gu1	艹 căo; 姑 gū
辜	gu1	古 gŭ; 辛 xīn
箍	gu1	竹 zhú; 手 shŏu; 匝 zā
古	gu3	十 shí; 口 kŏu
谷	gu3 yu4	水 shuĭ; 口 kŏu
股	gu3	月 yuè; 殳 shū
骨	gu2 gu3 gu1	冎 guă; 月 yuè
鼓	gu3 hu2	壴 zhŭ; 支 zhī
固	gu4	囗 wéi; 古 gŭ
故	gu4	古 gŭ; 攵 pō
顾	gu4	厄 è; 页 yè
雇	gu4	户 hù; 隹 zhuī cuī
瓜	gua1	瓜 guā
刮	gua1	舌 shé; 刀 dāo
冎	gua3	冎 guă
寡	gua3	宀 mián; 页 yè; 分 fēn fèn
卦	gua4	圭 guī; 卜 bŭ bo
挂	gua4	手 shŏu; 圭 guī
褂	gua4	衣 yī yì yĭ; 卦 guà
乖	guai1	千 qiān; 北 bĕi
拐	guai3	手 shŏu; 另 lìng
夬	guai4	丩 jiū; 人 rén
怪	guai4	心 xīn; 圣 shèng
关	guan1	八 bā bá; 天 tiān
观	guan1 guan4	又 yòu; 见 jiàn xiàn
官	guan1	宀 mián; 垖 duī
冠	guan1 guan4	冖 mì; 元 yuán; 寸 cùn
棺	guan1	木 mù; 官 guān
馆	guan3	食 shí sì yì; 官 guān
管	guan3	竹 zhú; 官 guān
贯	guan4	串 chuàn; 贝 bèi
惯	guan4	心 xīn; 贯 guàn
雚	guan4	雚 guàn
灌	guan4	水 shuĭ; 雚 guàn
罐	guan4	缶 fŏu; 雚 guàn
光	guang1	火 huŏ; 儿 ér r2
广	guang3 an1	广 guăng ān
逛	guang4	辶 chuò; 狂 kuáng
归	gui1	彐 jì
圭	gui1	土 tŭ
龟	gui1 jun1 qiu1	龟 guī jūn qiū
规	gui1	夫 fū fú; 见 jiàn xiàn
闺	gui1	门 mén; 圭 guī
硅	gui1 huo4	石 shí dàn; 圭 guī
瑰	gui1	王 wáng wàng; 鬼 guĭ
轨	gui3	车 chē jū; 九 jiŭ
诡	gui3	言 yán; 危 wēi wéi
癸	gui3	癶 bō; 矢 shĭ
鬼	gui3	鬼 guĭ
刽	gui4	会 huì kuài; 刀 dāo
柜	ju3 gui4	木 mù; 巨 jù
贵	gui4	中 zhōng zhòng; 一 yī; 贝 bèi
桂	gui4	木 mù; 圭 guī
跪	gui4	足 zú jù; 危 wēi wéi
衮	gun3	公 gōng; 衣 yī yì yĭ
滚	gun3	水 shuĭ; 衮 gŭn
棍	gun4	木 mù; 昆 kūn
呙	guo1	冎 guă; 口 kŏu
郭	guo1	享 xiăng; 邑 yì
锅	guo1	金 jīn; 呙 guō
国	guo2	囗 wéi; 玉 yù
果	guo3	田 tián; 木 mù
裹	guo3	衣 yī yì yĭ; 果 guŏ
过	guo4 guo1	辶 chuò; 寸 cùn
哈	ha1 ha3 ha4 ka1	口 kŏu; 合 hé gĕ
孩	hai2	子 zi zĭ zí; 亥 hài
海	hai3	水 shuĭ; 每 mĕi
亥	hai4	亥 hài
骇	hai4	马 mă; 亥 hài
害	hai4	宀 mián; 丰 fēng; 口 kŏu
酣	han1	酉 yŏu; 甘 gān
憨	han1	敢 găn; 心 xīn
含	han2	今 jīn; 口 kŏu
函	han2	函 hán
涵	han2	水 shuĭ; 函 hán
寒	han2	宑 jĭng; 冫 bīng
韩	han2	倝 gàn; 韦 wéi
罕	han3	网 wăng; 干 gān gàn
喊	han3	口 kŏu; 咸 xián
汉	han4	水 shuĭ; 又 yòu
汗	han4 han2	水 shuĭ; 干 gān gàn
旱	han4	日 rì; 干 gān gàn
悍	han4	心 xīn; 旱 hàn
捍	han4	手 shŏu; 旱 hàn
焊	han4	火 huŏ; 旱 hàn
憾	han4	心 xīn; 感 găn
撼	han4	手 shŏu; 感 găn
翰	han4	倝 gàn; 羽 yŭ
夯	hang1 ben4	大 dà dài; 力 lì
杭	hang2	木 mù; 亢 kàng
航	hang2	舟 zhōu; 亢 kàng
蒿	hao1	艹 căo; 高 gāo
毫	hao2	高 gāo; 毛 máo
豪	hao2	高 gāo; 豕 shĭ
嚎	hao2	口 kŏu; 豪 háo
壕	hao2	土 tŭ; 豪 háo
好	hao3 hao4	女 nǚ rŭ; 子 zi zĭ zí
号	hao4 hao2	口 kŏu; 丂 kăo
浩	hao4	水 shuĭ; 告 gào gù
耗	hao4	耒 lĕi; 毛 máo
呵	he1 ke1 a1 a2 a3 a4 a5	口 kŏu; 可 kĕ kè
喝	he1 he4	口 kŏu; 曷 hé
禾	he2	禾 hé
合	he2 ge3	亼 jí; 口 kŏu
何	he2 he4	人 rén; 可 kĕ kè
和	he2 he4 huo2 huo4 huo5 hai1 he5 hu2	禾 hé; 口 kŏu
河	he2	水 shuĭ; 可 kĕ kè
曷	he2	曰 yuē; 勹 bāo; 人 rén
核	he2 hu2	木 mù; 亥 hài
荷	he2 he4	艹 căo; 何 hé hè
盒	he2	合 hé gĕ; 皿 mĭn
贺	he4	加 jiā; 贝 bèi
褐	he4 he2	衣 yī yì yĭ; 曷 hé
赫	he4	赤 chì
鹤	he4	隹 zhuī cuī; 冖 mì; 鸟 niăo diăo
黑	hei1	里 lĭ li; 火 huŏ
嘿	hei1 mo4 hai1	口 kŏu; 黑 hēi
痕	hen2	疒 chuáng; 艮 gèn gĕn
很	hen3	彳 chì; 艮 gèn gĕn
狠	hen3	犬 quăn quán; 艮 gèn gĕn
恨	hen4	心 xīn; 艮 gèn gĕn
亨	heng1	亨 hēng
哼	heng1 hng5	口 kŏu; 亨 hēng
恒	heng2	心 xīn; 亘 gèn
横	heng2 heng4	木 mù; 黄 huáng
衡	heng2	行 xíng háng hàng xìng héng; 鱼 yú; 人 rén
轰	hong1	车 chē jū; 双 shuāng
哄	hong1 hong3 hong4	口 kŏu; 共 gòng gōng gŏng
烘	hong1	火 huŏ; 共 gòng gōng gŏng
红	hong2 gong1	糸 mì; 工 gōng
宏	hong2	宀 mián; 厷 sī
洪	hong2	水 shuĭ; 共 gòng gōng gŏng
虹	hong2 jiang4	虫 chóng huĭ; 工 gōng
鸿	hong2	江 jiāng; 鸟 niăo diăo
侯	hou4 hou2	人 rén; 丩 jiū; 矢 shĭ
喉	hou2	口 kŏu; 侯 hòu hóu
猴	hou2	犬 quăn quán; 侯 hòu hóu
吼	hou3	口 kŏu; 孔 kŏng
后	hou4	人 rén; 一 yī; 口 kŏu
厚	hou4	厂 chăng hăn ān; 日 rì; 子 zi zĭ zí
候	hou4	侯 hòu hóu
乎	hu1	爪 zhuă zhăo; 丁 dīng zhēng
虍	hu1	虍 hū
呼	hu1	口 kŏu; 乎 hū
忽	hu1	勿 wù; 心 xīn
弧	hu2	弓 gōng; 瓜 guā
狐	hu2	犬 quăn quán; 瓜 guā
胡	hu2	古 gŭ; 月 yuè
壶	hu2	士 shì; 冖 mì; 业 yè
湖	hu2	水 shuĭ; 胡 hú
葫	hu2	艹 căo; 胡 hú
糊	hu2 hu1 hu4	米 mĭ; 胡 hú
蝴	hu2	虫 chóng huĭ; 胡 hú
虎	hu3 hu4	虍 hū; 几 jĭ jī
唬	hu3 xia4	口 kŏu; 虎 hŭ hù
互	hu4	互 hù
户	hu4	户 hù
护	hu4	手 shŏu; 户 hù
沪	hu4	水 shuĭ; 户 hù
花	hua1	艹 căo; 化 huà huā
华	hua2 hua4 hua1	化 huà huā; 十 shí
哗	hua1 hua2 ye4	口 kŏu; 华 huá huà huā
滑	hua2 gu3	水 shuĭ; 骨 gú gŭ gū
猾	hua2	犬 quăn quán; 骨 gú gŭ gū
化	hua4 hua1	人 rén; 匕 bĭ
划	hua4 hua2 huai5	戈 gē; 刀 dāo
画	hua4	一 yī; 田 tián; 凵 qū kăn
话	hua4	言 yán; 舌 shé
桦	hua4	木 mù; 华 huá huà huā
怀	huai2	心 xīn; 不 bù bú fŏu
徊	huai2 hui2	彳 chì; 回 huí
淮	huai2	水 shuĭ; 隹 zhuī cuī
槐	huai2	木 mù; 鬼 guĭ
坏	huai4 pi1 pei1	土 tŭ; 不 bù bú fŏu
欢	huan1	又 yòu; 欠 qiàn qian
还	hai2 huan2	辶 chuò; 不 bù bú fŏu
环	huan2	王 wáng wàng; 不 bù bú fŏu
缓	huan3	糸 mì; 爰 yuán
幻	huan4	予 yŭ yú
奂	huan4	奂 huàn
宦	huan4	宀 mián; 臣 chén
唤	huan4	口 kŏu; 奂 huàn
换	huan4	手 shŏu; 奂 huàn
涣	huan4	水 shuĭ; 奂 huàn
患	huan4	串 chuàn; 心 xīn
焕	huan4	火 huŏ; 奂 huàn
痪	huan4	疒 chuáng; 奂 huàn
巟	huang1	亡 wáng wú; 川 chuān
荒	huang1 huang5	艹 căo; 巟 huāng
慌	huang1 huang5	心 xīn; 荒 huāng huang
皇	huang2	白 bái; 王 wáng wàng
凰	huang2	几 jĭ jī; 皇 huáng
黄	huang2	共 gòng gōng gŏng; 由 yóu
惶	huang2	心 xīn; 皇 huáng
煌	huang2	火 huŏ; 皇 huáng
蝗	huang2	虫 chóng huĭ; 皇 huáng
蟥	huang2	虫 chóng huĭ; 黄 huáng
恍	huang3	心 xīn; 光 guāng
晃	huang3 huang4	日 rì; 光 guāng
谎	huang3	言 yán; 荒 huāng huang
幌	huang3	巾 jīn; 晃 huăng huàng
灰	hui1	又 yòu; 火 huŏ
恢	hui1	心 xīn; 灰 huī
挥	hui1	手 shŏu; 军 jūn
辉	hui1	光 guāng; 军 jūn
徽	hui1	彳 chì; 山 shān; 系 xì jì; 攵 pō
回	hui2	囗 wéi; 口 kŏu
茴	hui2	艹 căo; 回 huí
蛔	hui2	虫 chóng huĭ; 回 huí
悔	hui3	心 xīn; 每 mĕi
汇	hui4	水 shuĭ; 匚 fāng xĭ
会	hui4 kuai4	人 rén; 云 yún
讳	hui4	言 yán; 韦 wéi
绘	hui4	糸 mì; 会 huì kuài
诲	hui4	言 yán; 每 mĕi
贿	hui4	贝 bèi; 有 yŏu yòu
彗	hui4	丰 fēng; 彐 jì
晦	hui4	日 rì; 每 mĕi
秽	hui4	禾 hé; 岁 suì
惠	hui4	十 shí; 田 tián; 心 xīn
毁	hui3	臼 jiù; 工 gōng; 殳 shū
慧	hui4	彗 huì; 心 xīn
昏	hun1	氏 shì zhī; 日 rì
荤	hun1 xun1	艹 căo; 军 jūn
婚	hun1	女 nǚ rŭ; 昏 hūn
浑	hun2	水 shuĭ; 军 jūn
魂	hun2	云 yún; 鬼 guĭ
混	hun4 hun2 hun3	水 shuĭ; 昆 kūn
豁	huo4 huo1 hua2	害 hài; 谷 gŭ yù
活	huo2	水 shuĭ; 舌 shé
火	huo3	火 huŏ
伙	huo3	人 rén; 火 huŏ
或	huo4	戈 gē; 口 kŏu
货	huo4	化 huà huā; 贝 bèi
获	huo4	艹 căo; 狄 dí
祸	huo4	示 shì; 呙 guō
惑	huo4	或 huò; 心 xīn
霍	huo4	雨 yŭ yù; 隹 zhuī cuī
丌	ji1	丌 jī
讥	ji1	言 yán; 几 jĭ jī
击	ji1	土 tŭ; 山 shān
叽	ji1	口 kŏu; 几 jĭ jī
饥	ji1	食 shí sì yì; 几 jĭ jī
圾	ji1	土 tŭ; 及 jí
机	ji1	木 mù; 几 jĭ jī
肌	ji1	月 yuè; 几 jĭ jī
鸡	ji1	又 yòu; 鸟 niăo diăo
迹	ji1 ji4	辶 chuò; 亦 yì
唧	ji1	口 kŏu; 即 jí
积	ji1	禾 hé; 只 zhĭ zhī
基	ji1	其 qí jī; 土 tŭ
绩	ji4 ji1	糸 mì; 责 zé
畸	ji1	田 tián; 奇 qí jī
箕	ji1 ji5	竹 zhú; 其 qí jī
稽	ji1 qi3	禾 hé; 尤 yóu; 旨 zhĭ
激	ji1	水 shuĭ; 敫 jiăo jiă
亼	ji2	亼 jí
及	ji2	人 rén; 又 yòu
吉	ji2	士 shì; 口 kŏu
级	ji2	糸 mì; 及 jí
即	ji2	皀 bī; 卩 jié
极	ji2	木 mù; 及 jí
急	ji2	刍 chú; 心 xīn
疾	ji2	疒 chuáng; 矢 shĭ
棘	ji2	朿 cì
集	ji2	隹 zhuī cuī; 木 mù
嫉	ji2	女 nǚ rŭ; 疾 jí
辑	ji2 ji5	车 chē jū; 咠 qī
籍	ji2	竹 zhú; 耒 lĕi; 昔 xī xí
几	ji3 ji1	几 jĭ jī
己	ji3	己 jĭ
挤	ji3	手 shŏu; 齐 qí jì qì
脊	ji3 ji2	月 yuè
彐	ji4	彐 jì
计	ji4	言 yán; 十 shí
记	ji4	言 yán; 己 jĭ
纪	ji4 ji3	糸 mì; 己 jĭ
妓	ji4	女 nǚ rŭ; 支 zhī
忌	ji4	己 jĭ; 心 xīn
技	ji4	手 shŏu; 支 zhī
际	ji4	阜 fù; 示 shì
剂	ji4	齐 qí jì qì; 刀 dāo
季	ji4	禾 hé; 子 zi zĭ zí
既	ji4	皀 bī; 欠 qiàn qian
济	ji4 ji3	水 shuĭ; 齐 qí jì qì
继	ji4	糸 mì; 米 mĭ
寂	ji4 ji2	宀 mián; 叔 shū shú
寄	ji4	宀 mián; 奇 qí jī
祭	ji4 zhai4	月 yuè; 又 yòu; 示 shì
鲫	ji4	鱼 yú; 即 jí
冀	ji4	北 bĕi; 異 yì
加	jia1	力 lì; 口 kŏu
夹	jia1 jia2 ga1	大 dà dài
佳	jia1	人 rén; 圭 guī
枷	jia1	木 mù; 加 jiā
家	jia1 gu1 jie5 jia5	宀 mián; 豕 shĭ
嘉	jia1	壴 zhŭ; 加 jiā
荚	jia2	艹 căo; 夹 jiā jiá gā
颊	jia2	夹 jiā jiá gā; 页 yè
甲	jia3	甲 jiă
叚	jia3	尸 shī; 二 èr; 又 yòu
贾	jia3 gu3	西 xī; 贝 bèi
钾	jia3	金 jīn; 甲 jiă
价	jia4 jie4 jie5	人 rén; 介 jiè
驾	jia4	加 jiā; 马 mă
架	jia4	加 jiā; 木 mù
假	jia3 jia4	人 rén; 叚 jiă
嫁	jia4	女 nǚ rŭ; 家 jiā gū jie jia
稼	jia4	禾 hé; 家 jiā gū jie jia
戋	jian1	戈 gē
奸	jian1	女 nǚ rŭ; 干 gān gàn
尖	jian1	小 xiăo; 大 dà dài
坚	jian1	臤 qiān; 土 tŭ
歼	jian1	歹 dăi; 千 qiān
间	jian1 jian4	门 mén; 日 rì
肩	jian1	户 hù; 月 yuè
艰	jian1	又 yòu; 艮 gèn gĕn
兼	jian1	又 yòu; 禾 hé
监	jian1 jian4	臥 wò; 皿 mĭn
煎	jian1	前 qián; 火 huŏ
拣	jian3	手 shŏu; 东 dōng
俭	jian3	人 rén; 佥 qiān
柬	jian3	束 shù; 八 bā bá
茧	jian3	艹 căo; 虫 chóng huĭ
捡	jian3	手 shŏu; 佥 qiān
减	jian3	冫 bīng; 咸 xián
剪	jian3	前 qián; 刀 dāo
检	jian3	木 mù; 佥 qiān
简	jian3	竹 zhú; 间 jiān jiàn
碱	jian3	石 shí dàn; 咸 xián
见	jian4 xian4	冂 jiōng; 儿 ér r2
件	jian4	人 rén; 牛 niú
建	jian4	廴 yĭn; 聿 yù
剑	jian4	佥 qiān; 刀 dāo
荐	jian4	艹 căo; 存 cún
贱	jian4	贝 bèi; 戋 jiān
健	jian4	人 rén; 建 jiàn
涧	jian4	水 shuĭ; 间 jiān jiàn
舰	jian4	舟 zhōu; 见 jiàn xiàn
渐	jian4 jian1	水 shuĭ; 斩 zhăn
溅	jian4 jian1	水 shuĭ; 贱 jiàn
践	jian4	足 zú jù; 戋 jiān
鉴	jian4	臥 wò; 金 jīn
键	jian4	金 jīn; 建 jiàn
箭	jian4	竹 zhú; 前 qián
江	jiang1	水 shuĭ; 工 gōng
姜	jiang1	羊 yáng; 女 nǚ rŭ
将	jiang1 jiang4 qiang1	片 piàn piān; 夕 xī xì; 寸 cùn
浆	jiang1 jiang4	将 jiāng jiàng qiāng; 水 shuĭ
僵	jiang1	人 rén; 畺 jiāng
缰	jiang1	糸 mì; 畺 jiāng
疆	jiang1	弓 gōng; 土 tŭ; 畺 jiāng
